City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,okhotsk,59.3833,143.3,-1.06,71,10,5.99,RU,1712116670
367,baruun-urt,46.6806,113.2792,-0.24,25,2,5.97,MN,1712116671
368,kargasok,59.0556,80.8572,0.54,100,100,1.79,RU,1712116672
369,malabar,-33.9667,151.25,26.11,65,40,6.69,AU,1712116673
370,verkhniye kigi,55.4083,58.6044,5.27,88,18,4.88,RU,1712116675
371,nova vicosa,-17.8919,-39.3719,25.42,85,95,1.01,BR,1712116676
372,alexandria,31.2156,29.9553,16.3,75,0,2.7,EG,1712116618
373,tatarsk,55.219,75.9828,1.37,89,100,5.63,RU,1712116678
374,rampur,28.8167,79.0333,24.28,13,87,4.16,IN,1712116679
375,puerto aysen,-45.4,-72.7,4.62,100,100,2.17,CL,1712116680
376,veinticinco de mayo,-35.4323,-60.1727,14.99,86,54,0.89,AR,1712116627
377,magistral'nyy,56.1725,107.4458,-3.13,77,67,2.96,RU,1712116392
378,flying fish cove,-10.4217,105.6791,28.82,83,75,6.17,CX,1712116683
379,inirida,3.8653,-67.9239,24.27,93,29,0.97,CO,1712116684
380,laojunmiao,39.8333,97.7333,6.26,46,66,3.2,CN,1712116685
381,pontes e lacerda,-15.2261,-59.3353,23.24,94,80,1.06,BR,1712116686
382,kazerun,29.6195,51.6541,19.24,46,21,0.39,IR,1712116687
383,kokshetau,53.2775,69.3883,3.18,75,0,7.0,KZ,1712116688
384,kaolack,14.1825,-16.2533,27.03,35,2,6.69,SN,1712116614
385,zouerate,22.7187,-12.4521,21.22,23,0,5.88,MR,1712116690
386,sejny,54.108,23.347,3.19,80,100,9.02,PL,1712116691
387,saint-denis,48.9167,2.3333,10.77,94,100,5.66,FR,1712116692
388,dili,-8.5586,125.5736,28.04,87,66,4.67,TL,1712116693
389,cururupu,-1.8283,-44.8683,24.5,97,96,0.72,BR,1712116694
390,kamba,11.8486,3.6576,29.91,26,45,1.78,NG,1712116695
391,kayenta,36.7278,-110.2546,9.93,30,0,2.13,US,1712116696
392,touros,-5.1989,-35.4608,26.88,85,60,3.31,BR,1712116562
393,lincoln city,44.9582,-124.0179,11.5,96,100,7.6,US,1712116683
394,taltal,-25.4,-70.4833,17.9,87,34,0.82,CL,1712116699
395,lamu,-2.2717,40.902,27.14,83,100,2.93,KE,1712116701
396,coquimbo,-29.9533,-71.3436,14.85,88,0,3.09,CL,1712116580
397,hoemul-li,41.4339,129.67,9.06,57,100,2.25,KP,1712116703
398,ambovombe,-25.1667,46.0833,21.56,87,0,5.46,MG,1712116704
399,sorong,-0.8833,131.25,28.56,76,67,3.9,ID,1712116705
400,mersrags,57.3354,23.1246,2.28,96,100,6.63,LV,1712116706
401,antsiranana,-12.2787,49.2917,25.42,94,40,0.0,MG,1712116707
402,mamu kanjan,30.8333,72.8,28.11,19,38,2.58,PK,1712116708
403,boa vista,2.8197,-60.6733,30.99,51,82,4.12,BR,1712116709
404,aldan,58.6031,125.3894,-2.78,91,100,5.7,RU,1712116710
405,teno,-34.8667,-71.1833,14.75,100,100,2.06,CL,1712116616
